,Meets Credit Policy?,Interest Rate (%),Log Annual Income ($),FICO Score,Revolving Balance ($),Revolving Line Utilisation Rate,No. of Overdue Payments,No. of Derogatory Public Records,Loan Not Fully Paid
0,1,11.89,11.35,737,28854,52.1,0,0,0
1,1,10.71,11.08,707,33623,76.7,0,0,0
2,1,13.569999999999999,10.37,682,3511,25.6,0,0,0
3,1,10.08,11.35,712,33667,73.2,0,0,0
4,1,14.26,11.3,667,4740,39.5,1,0,0
5,1,7.88,11.9,727,50807,51.0,0,0,0
6,1,14.96,10.71,667,3839,76.8,0,1,1
7,1,11.14,11.0,722,24220,68.6,0,0,1
8,1,11.34,11.41,682,69909,51.1,0,0,0
9,1,12.21,10.2,707,5630,23.0,0,0,0
10,1,13.469999999999999,10.43,677,13846,71.0,0,1,0
11,1,13.239999999999998,11.84,662,5122,18.2,1,0,0
12,1,8.59,10.93,767,6068,16.7,0,0,0
13,1,7.140000000000001,11.51,747,3021,4.8,1,0,0
14,1,8.63,9.49,727,6282,44.6,0,0,0
15,1,11.03,10.74,702,5394,53.4,0,0,0
16,1,13.170000000000002,10.52,672,2211,88.4,0,0,0
17,1,8.94,11.61,797,7586,52.7,0,0,0
18,1,10.39,10.49,712,8311,59.8,0,0,0
19,1,15.129999999999999,11.0,667,591,84.4,0,0,0
20,1,8.0,11.23,772,29797,23.2,0,0,0
21,1,8.63,10.82,797,5656,27.6,0,0,0
22,1,13.55,11.51,662,21162,57.7,0,0,0
23,1,7.88,11.74,782,16931,34.6,0,0,0
24,1,12.29,11.26,672,4822,58.1,0,1,0
25,1,9.01,12.43,712,14354,36.6,2,0,0
26,1,7.430000000000001,11.08,802,1576,5.7,0,0,0
27,1,13.750000000000002,10.0,662,4175,51.5,1,0,0
28,1,7.430000000000001,12.21,772,3164,13.7,0,0,0
29,1,7.430000000000001,12.21,812,85607,0.7,0,0,0
30,1,8.07,11.51,742,9698,19.4,0,0,0
31,1,10.280000000000001,9.8,692,8847,26.9,1,0,0
32,1,7.430000000000001,11.92,777,6053,19.5,0,0,0
33,1,8.07,11.61,762,7274,13.1,0,0,0
34,1,8.7,11.23,757,66033,23.0,0,0,0
35,1,7.430000000000001,11.46,772,3660,6.8,0,0,0
36,1,7.430000000000001,11.35,787,216,0.6,0,0,0
37,1,11.219999999999999,11.29,672,27185,16.1,0,1,0
38,1,9.959999999999999,10.78,707,28329,48.6,0,0,0
39,1,9.33,12.1,717,60568,39.2,0,0,0
40,1,8.07,12.1,742,40934,26.3,0,0,0
41,1,7.430000000000001,11.7,777,8379,16.9,0,0,0
42,1,8.7,10.13,752,3660,7.8,0,0,0
43,1,10.280000000000001,12.21,677,0,0.0,1,0,0
44,1,11.219999999999999,10.31,702,15840,47.1,0,0,0
45,1,8.38,11.21,797,6844,14.4,0,0,0
46,1,7.75,8.99,762,1321,16.5,0,0,0
47,1,8.38,10.37,772,4737,23.9,0,0,0
